,submission_date,state,tot_cases,new_case,tot_death,new_death,date
0,01/22/2020,CO,0,0.0,0,0.0,2020-01-22
1,01/23/2020,CO,0,0.0,0,0.0,2020-01-23
2,01/24/2020,CO,0,0.0,0,0.0,2020-01-24
3,01/25/2020,CO,0,0.0,0,0.0,2020-01-25
4,01/26/2020,CO,0,0.0,0,0.0,2020-01-26
5,01/27/2020,CO,0,0.0,0,0.0,2020-01-27
6,01/28/2020,CO,0,0.0,0,0.0,2020-01-28
7,01/29/2020,CO,0,0.0,0,0.0,2020-01-29
8,01/30/2020,CO,0,0.0,0,0.0,2020-01-30
9,01/31/2020,CO,0,0.0,0,0.0,2020-01-31
10,02/01/2020,CO,0,0.0,0,0.0,2020-02-01
11,02/02/2020,CO,0,0.0,0,0.0,2020-02-02
12,02/03/2020,CO,0,0.0,0,0.0,2020-02-03
13,02/04/2020,CO,0,0.0,0,0.0,2020-02-04
14,02/05/2020,CO,0,0.0,0,0.0,2020-02-05
15,02/06/2020,CO,0,0.0,0,0.0,2020-02-06
16,02/07/2020,CO,0,0.0,0,0.0,2020-02-07
17,02/08/2020,CO,0,0.0,0,0.0,2020-02-08
18,02/09/2020,CO,0,0.0,0,0.0,2020-02-09
19,02/10/2020,CO,0,0.0,0,0.0,2020-02-10
20,02/11/2020,CO,0,0.0,0,0.0,2020-02-11
21,02/12/2020,CO,0,0.0,0,0.0,2020-02-12
22,02/13/2020,CO,0,0.0,0,0.0,2020-02-13
23,02/14/2020,CO,0,0.0,0,0.0,2020-02-14
24,02/15/2020,CO,0,0.0,0,0.0,2020-02-15
25,02/16/2020,CO,0,0.0,0,0.0,2020-02-16
26,02/17/2020,CO,0,0.0,0,0.0,2020-02-17
27,02/18/2020,CO,0,0.0,0,0.0,2020-02-18
28,02/19/2020,CO,0,0.0,0,0.0,2020-02-19
29,02/20/2020,CO,0,0.0,0,0.0,2020-02-20
30,02/21/2020,CO,0,0.0,0,0.0,2020-02-21
31,02/22/2020,CO,0,0.0,0,0.0,2020-02-22
32,02/23/2020,CO,0,0.0,0,0.0,2020-02-23
33,02/24/2020,CO,0,0.0,0,0.0,2020-02-24
34,02/25/2020,CO,0,0.0,0,0.0,2020-02-25
35,02/26/2020,CO,0,0.0,0,0.0,2020-02-26
36,02/27/2020,CO,0,0.0,0,0.0,2020-02-27
37,02/28/2020,CO,0,0.0,0,0.0,2020-02-28
38,02/29/2020,CO,0,0.0,0,0.0,2020-02-29
39,03/01/2020,CO,0,0.0,0,0.0,2020-03-01
40,03/02/2020,CO,0,0.0,0,0.0,2020-03-02
41,03/03/2020,CO,0,0.0,0,0.0,2020-03-03
42,03/04/2020,CO,0,0.0,0,0.0,2020-03-04
43,03/05/2020,CO,1,1.0,0,0.0,2020-03-05
44,03/06/2020,CO,2,1.0,0,0.0,2020-03-06
45,03/07/2020,CO,8,6.0,0,0.0,2020-03-07
46,03/08/2020,CO,8,0.0,0,0.0,2020-03-08
47,03/09/2020,CO,12,4.0,0,0.0,2020-03-09
48,03/10/2020,CO,17,5.0,0,0.0,2020-03-10
49,03/11/2020,CO,34,17.0,0,0.0,2020-03-11
50,03/12/2020,CO,49,15.0,0,0.0,2020-03-12
51,03/13/2020,CO,49,0.0,0,0.0,2020-03-13
52,03/14/2020,CO,49,0.0,0,0.0,2020-03-14
53,03/15/2020,CO,144,95.0,1,1.0,2020-03-15
54,03/16/2020,CO,160,16.0,1,0.0,2020-03-16
55,03/17/2020,CO,183,23.0,2,1.0,2020-03-17
56,03/18/2020,CO,216,33.0,2,0.0,2020-03-18
57,03/19/2020,CO,277,61.0,2,0.0,2020-03-19
58,03/20/2020,CO,363,86.0,4,2.0,2020-03-20
59,03/21/2020,CO,475,112.0,5,1.0,2020-03-21
60,03/22/2020,CO,591,116.0,6,1.0,2020-03-22
61,03/23/2020,CO,720,129.0,7,1.0,2020-03-23
62,03/24/2020,CO,921,201.0,11,4.0,2020-03-24
63,03/25/2020,CO,1086,165.0,19,8.0,2020-03-25
64,03/26/2020,CO,1430,344.0,24,5.0,2020-03-26
65,03/27/2020,CO,1734,304.0,31,7.0,2020-03-27
66,03/28/2020,CO,2061,327.0,44,13.0,2020-03-28
67,03/29/2020,CO,2307,246.0,47,3.0,2020-03-29
68,03/30/2020,CO,2627,320.0,51,4.0,2020-03-30
69,03/31/2020,CO,2966,339.0,69,18.0,2020-03-31
70,04/01/2020,CO,3342,376.0,80,11.0,2020-04-01
71,04/02/2020,CO,3728,386.0,97,17.0,2020-04-02
72,04/03/2020,CO,4173,445.0,111,14.0,2020-04-03
73,04/04/2020,CO,4565,392.0,126,15.0,2020-04-04
74,04/05/2020,CO,4950,385.0,140,14.0,2020-04-05
75,04/06/2020,CO,5172,222.0,150,10.0,2020-04-06
76,04/07/2020,CO,5429,257.0,179,29.0,2020-04-07
77,04/08/2020,CO,5655,226.0,193,14.0,2020-04-08
78,04/09/2020,CO,6202,547.0,226,33.0,2020-04-09
79,04/10/2020,CO,6365,163.0,250,24.0,2020-04-10
80,04/11/2020,CO,6893,528.0,274,24.0,2020-04-11
81,04/12/2020,CO,7303,410.0,290,16.0,2020-04-12
82,04/13/2020,CO,7691,388.0,308,18.0,2020-04-13
83,04/14/2020,CO,7941,250.0,329,21.0,2020-04-14
84,04/15/2020,CO,8280,339.0,357,28.0,2020-04-15
85,04/16/2020,CO,8582,943.0,373,26.0,2020-04-16
86,04/17/2020,CO,9047,465.0,391,18.0,2020-04-17
87,04/18/2020,CO,9433,386.0,411,20.0,2020-04-18
88,04/19/2020,CO,9634,920.0,421,23.0,2020-04-19
89,04/20/2020,CO,10019,425.0,448,27.0,2020-04-20
90,04/21/2020,CO,10368,422.0,485,38.0,2020-04-21
91,04/22/2020,CO,10825,572.0,507,24.0,2020-04-22
92,04/23/2020,CO,11182,384.0,551,53.0,2020-04-23
93,04/24/2020,CO,12184,1217.0,672,217.0,2020-04-24
94,04/25/2020,CO,12868,830.0,670,-17.0,2020-04-25
95,04/26/2020,CO,13350,517.0,679,10.0,2020-04-26
96,04/27/2020,CO,13798,502.0,706,31.0,2020-04-27
97,04/28/2020,CO,14238,513.0,736,38.0,2020-04-28
98,04/29/2020,CO,14675,467.0,766,35.0,2020-04-29
99,04/30/2020,CO,15182,525.0,777,12.0,2020-04-30
100,05/01/2020,CO,15668,531.0,820,45.0,2020-05-01
101,05/02/2020,CO,16120,484.0,832,16.0,2020-05-02
102,05/03/2020,CO,16534,429.0,842,16.0,2020-05-03
103,05/04/2020,CO,16878,416.0,851,11.0,2020-05-04
104,05/05/2020,CO,17317,447.0,903,54.0,2020-05-05
105,05/06/2020,CO,17738,430.0,921,20.0,2020-05-06
106,05/07/2020,CO,18318,640.0,944,24.0,2020-05-07
107,05/08/2020,CO,18793,513.0,960,15.0,2020-05-08
108,05/09/2020,CO,19316,524.0,967,7.0,2020-05-09
109,05/10/2020,CO,19632,314.0,971,4.0,2020-05-10
110,05/11/2020,CO,19735,122.0,986,16.0,2020-05-11
111,05/12/2020,CO,20091,394.0,1006,27.0,2020-05-12
112,05/13/2020,CO,20401,370.0,1059,80.0,2020-05-13
113,05/14/2020,CO,20762,379.0,1090,37.0,2020-05-14
114,05/15/2020,CO,21131,391.0,1150,82.0,2020-05-15
115,05/16/2020,CO,21511,404.0,1192,65.0,2020-05-16
116,05/17/2020,CO,21797,306.0,1215,43.0,2020-05-17
117,05/18/2020,CO,22095,341.0,1224,9.0,2020-05-18
118,05/19/2020,CO,22399,332.0,1257,40.0,2020-05-19
119,05/20/2020,CO,22752,415.0,1299,59.0,2020-05-20
120,05/21/2020,CO,23121,430.0,1309,10.0,2020-05-21
121,05/22/2020,CO,23455,369.0,1323,16.0,2020-05-22
122,05/23/2020,CO,23937,509.0,1327,4.0,2020-05-23
123,05/24/2020,CO,24137,200.0,1330,3.0,2020-05-24
124,05/25/2020,CO,24226,94.0,1331,1.0,2020-05-25
125,05/26/2020,CO,24503,287.0,1350,19.0,2020-05-26
126,05/27/2020,CO,24995,552.0,1392,63.0,2020-05-27
127,05/28/2020,CO,25121,134.0,1421,39.0,2020-05-28
128,05/29/2020,CO,25613,570.0,1436,16.0,2020-05-29
129,05/30/2020,CO,26098,475.0,1443,5.0,2020-05-30
130,05/31/2020,CO,26378,278.0,1445,2.0,2020-05-31
131,06/01/2020,CO,26577,238.0,1458,14.0,2020-06-01
132,06/02/2020,CO,26788,220.0,1474,22.0,2020-06-02
133,06/03/2020,CO,27060,298.0,1494,20.0,2020-06-03
134,06/04/2020,CO,27360,309.0,1512,23.0,2020-06-04
135,06/05/2020,CO,27615,259.0,1524,14.0,2020-06-05
136,06/06/2020,CO,27848,246.0,1527,2.0,2020-06-06
137,06/07/2020,CO,28001,168.0,1527,0.0,2020-06-07
138,06/08/2020,CO,28183,194.0,1543,17.0,2020-06-08
139,06/09/2020,CO,28347,168.0,1553,11.0,2020-06-09
140,06/10/2020,CO,28499,176.0,1573,23.0,2020-06-10
141,06/11/2020,CO,28647,171.0,1583,12.0,2020-06-11
142,06/12/2020,CO,28822,175.0,1595,14.0,2020-06-12
143,06/13/2020,CO,29017,197.0,1598,2.0,2020-06-13
144,06/14/2020,CO,29130,111.0,1599,1.0,2020-06-14
145,06/15/2020,CO,29299,195.0,1605,6.0,2020-06-15
146,06/16/2020,CO,29442,157.0,1617,12.0,2020-06-16
147,06/17/2020,CO,29673,254.0,1631,20.0,2020-06-17
148,06/18/2020,CO,29901,241.0,1638,10.0,2020-06-18
149,06/19/2020,CO,30187,337.0,1643,7.0,2020-06-19
150,06/20/2020,CO,30349,169.0,1647,4.0,2020-06-20
151,06/21/2020,CO,30539,188.0,1647,0.0,2020-06-21
152,06/22/2020,CO,30705,173.0,1651,4.0,2020-06-22
153,06/23/2020,CO,30893,197.0,1665,12.0,2020-06-23
154,06/24/2020,CO,31155,288.0,1667,-1.0,2020-06-24
155,06/25/2020,CO,31479,348.0,1669,2.0,2020-06-25
156,06/26/2020,CO,31796,336.0,1673,3.0,2020-06-26
157,06/27/2020,CO,32022,230.0,1674,1.0,2020-06-27
158,06/28/2020,CO,32307,288.0,1676,3.0,2020-06-28
159,06/29/2020,CO,32511,233.0,1682,6.0,2020-06-29
160,06/30/2020,CO,32715,215.0,1690,11.0,2020-06-30
161,07/01/2020,CO,33029,339.0,1697,7.0,2020-07-01
162,07/02/2020,CO,33352,326.0,1701,5.0,2020-07-02
163,07/03/2020,CO,33612,258.0,1701,0.0,2020-07-03
164,07/04/2020,CO,33866,253.0,1701,0.0,2020-07-04
165,07/05/2020,CO,34065,200.0,1701,0.0,2020-07-05
166,07/06/2020,CO,34257,184.0,1691,-22.0,2020-07-06
167,07/07/2020,CO,34664,446.0,1696,5.0,2020-07-07
168,07/08/2020,CO,35116,502.0,1704,11.0,2020-07-08
169,07/09/2020,CO,35525,410.0,1706,2.0,2020-07-09
170,07/10/2020,CO,36191,689.0,1724,18.0,2020-07-10
171,07/11/2020,CO,36591,402.0,1725,1.0,2020-07-11
172,07/12/2020,CO,36913,320.0,1725,0.0,2020-07-12
173,07/13/2020,CO,37242,340.0,1727,2.0,2020-07-13
174,07/14/2020,CO,37686,454.0,1738,14.0,2020-07-14
175,07/15/2020,CO,38155,475.0,1744,7.0,2020-07-15
176,07/16/2020,CO,38726,578.0,1745,2.0,2020-07-16
177,07/17/2020,CO,39344,666.0,1751,6.0,2020-07-17
178,07/18/2020,CO,39788,450.0,1752,1.0,2020-07-18
179,07/19/2020,CO,40142,365.0,1752,0.0,2020-07-19
180,07/20/2020,CO,40566,418.0,1758,6.0,2020-07-20
181,07/21/2020,CO,41059,510.0,1763,6.0,2020-07-21
182,07/22/2020,CO,41698,663.0,1771,11.0,2020-07-22
183,07/23/2020,CO,42314,631.0,1786,15.0,2020-07-23
184,07/24/2020,CO,42980,673.0,1790,4.0,2020-07-24
185,07/25/2020,CO,43789,812.0,1794,4.0,2020-07-25
186,07/26/2020,CO,44336,548.0,1794,0.0,2020-07-26
187,07/27/2020,CO,44565,232.0,1799,5.0,2020-07-27
188,07/28/2020,CO,45314,749.0,1807,9.0,2020-07-28
189,07/29/2020,CO,45796,487.0,1822,17.0,2020-07-29
190,07/30/2020,CO,46204,410.0,1822,0.0,2020-07-30
191,07/31/2020,CO,46809,616.0,1838,17.0,2020-07-31
192,08/01/2020,CO,47267,465.0,1844,9.0,2020-08-01
193,08/02/2020,CO,47716,448.0,1844,-1.0,2020-08-02
194,08/03/2020,CO,47968,258.0,1844,-1.0,2020-08-03
195,08/04/2020,CO,48394,448.0,1849,5.0,2020-08-04
196,08/05/2020,CO,48988,610.0,1851,2.0,2020-08-05
197,08/06/2020,CO,49436,451.0,1852,1.0,2020-08-06
198,08/07/2020,CO,49893,458.0,1857,5.0,2020-08-07
199,08/08/2020,CO,50324,435.0,1857,0.0,2020-08-08
200,08/09/2020,CO,50660,388.0,1858,1.0,2020-08-09
201,08/10/2020,CO,51039,474.0,1863,5.0,2020-08-10
202,08/11/2020,CO,51441,447.0,1875,13.0,2020-08-11
203,08/12/2020,CO,51756,376.0,1875,0.0,2020-08-12
204,08/13/2020,CO,52129,331.0,1882,8.0,2020-08-13
205,08/14/2020,CO,52538,510.0,1888,6.0,2020-08-14
206,08/15/2020,CO,52838,307.0,1896,9.0,2020-08-15
207,08/16/2020,CO,53176,343.0,1896,0.0,2020-08-16
208,08/17/2020,CO,53370,198.0,1896,0.0,2020-08-17
209,08/18/2020,CO,53631,273.0,1899,3.0,2020-08-18
210,08/19/2020,CO,53901,277.0,1900,1.0,2020-08-19
211,08/20/2020,CO,54230,344.0,1903,3.0,2020-08-20
212,08/21/2020,CO,54586,372.0,1910,7.0,2020-08-21
213,08/22/2020,CO,54883,303.0,1918,9.0,2020-08-22
214,08/23/2020,CO,55133,253.0,1918,0.0,2020-08-23
215,08/24/2020,CO,55341,245.0,1919,1.0,2020-08-24
216,08/25/2020,CO,55800,520.0,1926,8.0,2020-08-25
217,08/26/2020,CO,55994,233.0,1927,1.0,2020-08-26
218,08/27/2020,CO,56343,365.0,1931,4.0,2020-08-27
219,08/28/2020,CO,56773,464.0,1937,6.0,2020-08-28
220,08/29/2020,CO,57041,285.0,1944,9.0,2020-08-29
221,08/30/2020,CO,57223,179.0,1944,0.0,2020-08-30
222,08/31/2020,CO,57424,217.0,1945,1.0,2020-08-31
223,09/01/2020,CO,57775,403.0,1946,1.0,2020-09-01
224,09/02/2020,CO,58019,257.0,1952,6.0,2020-09-02
225,09/03/2020,CO,58287,278.0,1955,4.0,2020-09-03
226,09/04/2020,CO,58655,394.0,1966,11.0,2020-09-04
227,09/05/2020,CO,58989,397.0,1971,5.0,2020-09-05
228,09/06/2020,CO,59274,294.0,1972,1.0,2020-09-06
229,09/07/2020,CO,59487,224.0,1973,2.0,2020-09-07
230,09/08/2020,CO,59674,190.0,1973,0.0,2020-09-08
231,09/09/2020,CO,59920,268.0,1977,4.0,2020-09-09
232,09/10/2020,CO,60185,283.0,1979,2.0,2020-09-10
233,09/11/2020,CO,60492,349.0,1985,7.0,2020-09-11
234,09/12/2020,CO,60907,504.0,1988,3.0,2020-09-12
235,09/13/2020,CO,61324,439.0,1988,0.0,2020-09-13
236,09/14/2020,CO,61699,396.0,1990,2.0,2020-09-14
237,09/15/2020,CO,62099,448.0,1996,6.0,2020-09-15
238,09/16/2020,CO,62686,722.0,2002,6.0,2020-09-16
239,09/17/2020,CO,63145,504.0,2006,4.0,2020-09-17
240,09/18/2020,CO,63750,645.0,2009,3.0,2020-09-18
241,09/19/2020,CO,64356,666.0,2013,4.0,2020-09-19
242,09/20/2020,CO,64857,528.0,2014,1.0,2020-09-20
243,09/21/2020,CO,65399,548.0,2018,5.0,2020-09-21
244,09/22/2020,CO,66053,706.0,2025,8.0,2020-09-22
245,09/23/2020,CO,66669,643.0,2030,6.0,2020-09-23
246,09/24/2020,CO,67217,559.0,2033,4.0,2020-09-24
247,09/25/2020,CO,67926,801.0,2037,4.0,2020-09-25
248,09/26/2020,CO,68510,616.0,2040,4.0,2020-09-26
249,09/27/2020,CO,69079,590.0,2041,1.0,2020-09-27
250,09/28/2020,CO,69490,447.0,2044,4.0,2020-09-28
251,09/29/2020,CO,70025,567.0,2046,2.0,2020-09-29
252,09/30/2020,CO,70536,559.0,2051,5.0,2020-09-30
253,10/01/2020,CO,71218,700.0,2054,4.0,2020-10-01
254,10/02/2020,CO,71898,711.0,2057,6.0,2020-10-02
255,10/03/2020,CO,71898,0.0,2057,0.0,2020-10-03
256,10/04/2020,CO,73076,1231.0,2067,10.0,2020-10-04
257,10/05/2020,CO,73537,489.0,2069,3.0,2020-10-05
258,10/06/2020,CO,74191,708.0,2081,13.0,2020-10-06
259,10/07/2020,CO,74922,763.0,2085,6.0,2020-10-07
260,10/08/2020,CO,75785,915.0,2095,11.0,2020-10-08
261,10/09/2020,CO,76619,878.0,2103,9.0,2020-10-09
262,10/10/2020,CO,77642,1079.0,2112,10.0,2020-10-10
263,10/11/2020,CO,78461,838.0,2113,1.0,2020-10-11
264,10/12/2020,CO,79037,624.0,2116,4.0,2020-10-12
265,10/13/2020,CO,80085,1085.0,2153,44.0,2020-10-13
266,10/14/2020,CO,80777,754.0,2160,10.0,2020-10-14
267,10/15/2020,CO,81918,1190.0,2162,2.0,2020-10-15
268,10/16/2020,CO,83230,1444.0,2172,11.0,2020-10-16
269,10/17/2020,CO,84369,1266.0,2176,4.0,2020-10-17
270,10/18/2020,CO,85302,943.0,2176,0.0,2020-10-18
271,10/19/2020,CO,86374,1100.0,2180,4.0,2020-10-19
272,10/20/2020,CO,87582,1424.0,2182,3.0,2020-10-20
273,10/21/2020,CO,88849,1504.0,2194,13.0,2020-10-21
274,10/22/2020,CO,90222,1483.0,2198,4.0,2020-10-22
275,10/23/2020,CO,91572,1441.0,2211,13.0,2020-10-23
276,10/24/2020,CO,93400,1921.0,2218,8.0,2020-10-24
277,10/25/2020,CO,95089,1709.0,2223,6.0,2020-10-25
278,10/26/2020,CO,97300,2231.0,2226,2.0,2020-10-26
279,10/27/2020,CO,98733,1518.0,2236,13.0,2020-10-27
280,10/28/2020,CO,100208,1580.0,2249,15.0,2020-10-28
281,10/29/2020,CO,102014,1898.0,2268,19.0,2020-10-29
282,10/30/2020,CO,104426,2534.0,2278,14.0,2020-10-30
283,10/31/2020,CO,107350,3025.0,2285,7.0,2020-10-31
284,11/01/2020,CO,107350,0.0,2285,0.0,2020-11-01
285,11/02/2020,CO,112147,4867.0,2292,8.0,2020-11-02
286,11/03/2020,CO,114709,2654.0,2311,22.0,2020-11-03
287,11/04/2020,CO,117637,2989.0,2333,24.0,2020-11-04
288,11/05/2020,CO,121006,3415.0,2353,19.0,2020-11-05
289,11/06/2020,CO,124469,3565.0,2376,24.0,2020-11-06
290,11/07/2020,CO,127967,3582.0,2389,14.0,2020-11-07
291,11/08/2020,CO,130984,3065.0,2394,6.0,2020-11-08
292,11/09/2020,CO,134537,3620.0,2408,15.0,2020-11-09
293,11/10/2020,CO,138427,3949.0,2427,21.0,2020-11-10
294,11/11/2020,CO,142402,4000.0,2443,17.0,2020-11-11
295,11/12/2020,CO,147599,5271.0,2468,29.0,2020-11-12
296,11/13/2020,CO,154038,6596.0,2504,36.0,2020-11-13
297,11/14/2020,CO,159234,5300.0,2525,22.0,2020-11-14
298,11/15/2020,CO,163417,4223.0,2546,21.0,2020-11-15
299,11/16/2020,CO,167713,4986.0,2578,48.0,2020-11-16
300,11/17/2020,CO,172044,4450.0,2608,36.0,2020-11-17
301,11/18/2020,CO,176694,4750.0,2651,56.0,2020-11-18
302,11/19/2020,CO,182801,6187.0,2730,88.0,2020-11-19
303,11/20/2020,CO,188566,5843.0,2745,16.0,2020-11-20
